Filename, Package, Minor, Major, Total, Ownership, #Bugs
OpenCloseCoreStressTest.java,org.apache.solr.core,0,4,4,0.50,0
QueryEqualsHashCodeTest.java,org.apache.lucene.spatial,0,2,2,0.67,0
TestHindiStemmer.java,org.apache.lucene.analysis.hi,0,1,1,1.00,0
TimestampUpdateProcessorFactory.java,org.apache.solr.update.processor,0,0,0,0.00,0
GeohashPrefixTree.java,org.apache.lucene.spatial.prefix.tree,0,2,2,0.60,0
Lucene50DocValuesConsumer.java,org.apache.lucene.codecs.lucene50,0,2,2,0.75,0
TestRegexpRandom2.java,org.apache.lucene.search,0,5,5,0.40,0
SnowballProgram.java,org.tartarus.snowball,0,0,0,0.00,0
Entity.java,org.apache.solr.handler.dataimport.config,0,2,2,0.50,0
LongFieldSource.java,org.apache.lucene.queries.function.valuesource,0,2,2,0.50,0
ElevatedMarkerFactory.java,org.apache.solr.response.transform,0,0,0,0.00,0
NoOpRegenerator.java,org.apache.solr.search,0,0,0,0.00,0
FreqProxFields.java,org.apache.lucene.index,0,3,3,0.60,2
ToParentBlockJoinIndexSearcher.java,org.apache.lucene.search.join,0,1,1,1.00,1
FilterCollector.java,org.apache.solr.search.grouping.collector,0,2,2,0.50,0
FieldQueryTest.java,org.apache.lucene.search.vectorhighlight,0,4,4,0.25,1
IntSequenceOutputs.java,org.apache.lucene.util.fst,0,2,2,0.67,0
InPlaceMergeSorter.java,org.apache.lucene.util,0,0,0,0.00,0
SolrExampleStreamingBinaryTest.java,org.apache.solr.client.solrj.embedded,0,3,3,0.67,0
BloomFilteringPostingsFormat.java,org.apache.lucene.codecs.bloom,0,3,3,0.67,0
PackedTokenAttributeImpl.java,org.apache.lucene.analysis.tokenattributes,0,1,1,1.00,0
Counter.java,org.apache.lucene.util,0,0,0,0.00,0
PatternReplaceCharFilterFactory.java,org.apache.lucene.analysis.pattern,0,0,0,0.00,0
URLUtilTest.java,org.apache.solr.common.util,0,1,1,1.00,0
TermRangeFilter.java,org.apache.lucene.search,0,1,1,1.00,0
TestPayloadExplanations.java,org.apache.lucene.search.payloads,0,1,1,1.00,0
TestUpdate.java,org.apache.solr.update,0,0,0,0.00,0
TokenStreamToDot.java,org.apache.lucene.analysis,0,0,0,0.00,0
CollectionStats.java,org.apache.solr.search.stats,0,1,1,1.00,0
SolrIgnoredThreadsFilter.java,org.apache.solr,0,0,0,0.00,0
OverseerRolesTest.java,org.apache.solr.cloud,2,6,8,0.44,1
TestCharArrayIterator.java,org.apache.lucene.analysis.util,0,2,2,0.50,0
TestBoostedQuery.java,org.apache.lucene.queries.function,0,3,3,0.50,0
