ID|BRANCH|PROJECT|queue_r1|queue_r2|queue_r3|queue_r4|queue_r5|queue_r6|queue_r7|queue_r8
I02971103407b4ec11a65218e9ef7e2708915d938|stable/liberty|openstack/neutron|12|26|\N|\N|\N|\N|\N|\N
I02984b21872e0f183db7404c10d8180dbd89075f|stable/mitaka|openstack/neutron|36|17|\N|\N|\N|\N|\N|\N
I02984b21872e0f183db7404c10d8180dbd89075f|stable/kilo|openstack/neutron|21|16|\N|\N|\N|\N|\N|\N
I02984b21872e0f183db7404c10d8180dbd89075f|stable/liberty|openstack/neutron|38|19|\N|\N|\N|\N|\N|\N
I02984b21872e0f183db7404c10d8180dbd89075f|master|openstack/neutron|8|15|6|\N|\N|\N|\N|\N
I0299db4a80a567e1c6ed0b040de52f241548ae85|master|openstack/neutron|30|\N|\N|\N|\N|\N|\N|\N
I029d0f4d9b11a47925aaa0faaa97384f2af80ba9|master|openstack/nova|29|33|\N|\N|\N|\N|\N|\N
I02a3632d258b7555284e66368eaf17af3b4b0a2f|master|openstack/cinder|9|20|\N|\N|\N|\N|\N|\N
I02a377f54de46536ca35413b615d3298967afc33|master|openstack/nova|15|17|\N|\N|\N|\N|\N|\N
I02a5153746d374a7262f02794fa8f820687bdb39|master|openstack/cinder|5|\N|\N|\N|\N|\N|\N|\N
I02acea6124d28370d92e7c94ca2d1d6c5c8937ac|master|openstack/neutron|19|6|\N|\N|\N|\N|\N|\N
I02ae1a255fd613fce291cc7ddf90cfd9175255a8|stable/kilo|openstack/cinder|12|30|\N|\N|\N|\N|\N|\N
I02ae1a255fd613fce291cc7ddf90cfd9175255a8|master|openstack/cinder|5|10|\N|\N|\N|\N|\N|\N
I02ae1a255fd613fce291cc7ddf90cfd9175255a8|stable/icehouse|openstack/cinder|31|\N|\N|\N|\N|\N|\N|\N
I02ae1a255fd613fce291cc7ddf90cfd9175255a8|stable/juno|openstack/cinder|26|31|\N|\N|\N|\N|\N|\N
I02b8e911125c06691bf02b6e7ac02cf25c4c4142|master|openstack/neutron|37|10|\N|\N|\N|\N|\N|\N
I02c9dfe1a645043b952e87e74c6f4cebd90a37f3|master|openstack/neutron|4|\N|\N|\N|\N|\N|\N|\N
I02cd099a8634b9c7e3cf8f172bcbd33f8edcbc83|stable/icehouse|openstack/glance|1|\N|\N|\N|\N|\N|\N|\N
I02cd099a8634b9c7e3cf8f172bcbd33f8edcbc83|stable/juno|openstack/glance|0|\N|\N|\N|\N|\N|\N|\N
I02ceaac58d0e4176ccad423763ae0101cfb8446b|master|openstack/cinder|10|22|\N|\N|\N|\N|\N|\N
I02db1afbeb9c60c4c601e92e41cad053f52cb1b7|master|openstack/nova|19|25|\N|\N|\N|\N|\N|\N
I02ddf2afb8643e4d3c68934627ad35193e0137ef|master|openstack/cinder|52|28|\N|\N|\N|\N|\N|\N
I02de3e97ae4bb298ea9be010068403ab44ed2605|master|openstack/keystone|1|3|11|\N|\N|\N|\N|\N
I02e265684b26686523da9d648b37675feb052978|stable/liberty|openstack/keystone|40|7|\N|\N|\N|\N|\N|\N
I02e265684b26686523da9d648b37675feb052978|master|openstack/keystone|38|14|\N|\N|\N|\N|\N|\N
I02e33559cef42d90812d9dbc3dac1d8122897e19|master|openstack/neutron|29|11|\N|\N|\N|\N|\N|\N
I02edacccd96fde9a93fc1a700248cc5dfea04227|master|openstack/keystone|14|10|\N|\N|\N|\N|\N|\N
I02edb9ce6ac639e84089afea5a900462e61b934a|master|openstack/neutron|14|\N|\N|\N|\N|\N|\N|\N
I02ef576ecb3052724bc14a3bd2df842bec554e0d|master|openstack/cinder|17|45|\N|\N|\N|\N|\N|\N
I02f8a5f0e29816336e500a8fe8dcc9ece15968e9|master|openstack/nova|37|32|\N|\N|\N|\N|\N|\N
I02fc02b7e4d9d6b7fec0a288fc34e2365ddcd9fd|master|openstack/cinder|8|15|\N|\N|\N|\N|\N|\N
I0301952d5f7d4cd78c5d35c38aa5c6caabcc6298|master|openstack/neutron|19|10|\N|\N|\N|\N|\N|\N
I0306bcea813031897e319af9693e18d03848e378|master|openstack/neutron|28|24|\N|\N|\N|\N|\N|\N
I03080658d96f805c7953c8e02feaaa3bcf38ffac|master|openstack/nova|26|27|\N|\N|\N|\N|\N|\N
I0317ef934adf7119915b998dee8b9035faea514a|master|openstack/keystone|5|7|\N|\N|\N|\N|\N|\N
I0319f9382294223fcd68a493def3e71de7de3ba1|master|openstack/nova|5|28|\N|\N|\N|\N|\N|\N
I031a022daed6b8a66dfd04bea1b4d5eebcb882b3|master|openstack/swift|13|6|\N|\N|\N|\N|\N|\N
I031ee2a5775e4a88d4fb00d972d553936147c42e|master|openstack/swift|3|4|\N|\N|\N|\N|\N|\N
I0323ff2511506c354db3416f1b37ede772acaedb|master|openstack/swift|4|1|0|\N|\N|\N|\N|\N
I032a916666918b07d00983a42f10dd8efc17ee8b|master|openstack/cinder|19|32|\N|\N|\N|\N|\N|\N
I032d5cdd54e3ed8924115744671d8ef9231e62c0|master|openstack/cinder|19|17|\N|\N|\N|\N|\N|\N
I033368c12c90d7fbbaf81b065f1a1c8c5975006a|master|openstack/cinder|34|15|\N|\N|\N|\N|\N|\N
I033960c21db91c3150daeffa3dae38005b7ef39b|master|openstack/cinder|10|28|38|\N|\N|\N|\N|\N
I033b88d50cf90503e1123a9871c1bc252d914c06|master|openstack/cinder|0|0|\N|\N|\N|\N|\N|\N
I033c2c4d45689d02dec96a0e58794629053efbc4|master|openstack/cinder|24|8|\N|\N|\N|\N|\N|\N
I0343dfba2f9ad359c083c94efa53c9c079e9ca07|master|openstack/nova|38|\N|\N|\N|\N|\N|\N|\N
I034469b86a7cd839b6099b55e484da8060ce02a2|master|openstack/nova|19|24|\N|\N|\N|\N|\N|\N
I0345c07ac490b6bd738c0fdac0b621bb9156f899|master|openstack/cinder|17|22|\N|\N|\N|\N|\N|\N
I034b4041414a797f65ede52db2963107f2ef7456|master|openstack/nova|12|23|70|\N|\N|\N|\N|\N
I034b928441a55f1b02a9909663986ef4d1248bf2|master|openstack/nova|7|61|\N|\N|\N|\N|\N|\N
I034f0ffc2200f64926617e87861a97838e76342c|master|openstack/neutron|33|8|\N|\N|\N|\N|\N|\N
I03501bb9bcc9932211174d5a00511af347befd96|master|openstack/cinder|19|12|48|\N|\N|\N|\N|\N
I0351dddc49da5908f46e09e22467f6fb112593dd|master|openstack/keystone|17|7|\N|\N|\N|\N|\N|\N
I035960dd9c6eec5a6b5e83fa3a4841dc9f7d20fa|master|openstack/nova|65|22|\N|\N|\N|\N|\N|\N
I035b188f706a8f371e9fbb94c605869ccaec462e|master|openstack/nova|19|20|\N|\N|\N|\N|\N|\N
I036a6919fead6e970505dccbb0da7bfbdf8cecc3|master|openstack/swift|2|1|\N|\N|\N|\N|\N|\N
I036b0449c7b5521adeb32602a0c0e6cf2d27510a|master|openstack/neutron|7|16|\N|\N|\N|\N|\N|\N
I036b46f784c4b53d5609af6022236f66a08ef8bf|master|openstack/nova|37|13|\N|\N|\N|\N|\N|\N
I03739a8ab5dd83bca8c49d152f979c3a80ad0033|master|openstack/keystone|0|3|\N|\N|\N|\N|\N|\N
I03742cc9330814e2758184d8189a5be93a2b978b|master|openstack/nova|26|88|\N|\N|\N|\N|\N|\N
I03742cc9330814e2758184d8189a5be93a2b978b|stable/liberty|openstack/nova|25|\N|\N|\N|\N|\N|\N|\N
I03773a4cfbf4394d08e6379504a16a53e1bb2775|master|openstack/nova|49|60|\N|\N|\N|\N|\N|\N
I03782e69707aa873a60d9ff76211ca8587e629c6|master|openstack/keystone|6|2|\N|\N|\N|\N|\N|\N
I0385a5ba290ab03b676145d35206b1ed12899473|master|openstack/cinder|50|7|\N|\N|\N|\N|\N|\N
I0396f1d7405987ed1c57f0344e1c5ebeca30a2e3|master|openstack/swift|5|3|\N|\N|\N|\N|\N|\N
