size, priority, comp, queue, S_Apple, S_Google, S_RIM, S_Intel, S_Igalia, R_Apple, R_Google, R_RIM, R_Intel, R_Igalia, s_exp, r_exp, obsolete, time, outcome,outcome,"loc,time,trans"
21,1,1,0,0,1,0,0,0,1,0,0,0,0,2,89,TRUE,190.7333333,-1,r-,"21,190.733333333333,r-"
7,1,1,1,0,1,0,0,0,0,1,0,0,0,63,119,FALSE,473.4,1,r+,"7,473.4,r+"
4,1,1,2,1,0,0,0,0,0,1,0,0,0,85,291,FALSE,813.25,1,r+,"4,813.25,r+"
5,1,1,0,1,0,0,0,0,1,0,0,0,0,28,56,FALSE,175.3666667,1,r+,"5,175.366666666667,r+"
3,1,1,1,0,0,0,0,0,1,0,0,0,0,9,415,TRUE,7.75,1,r+,"3,7.75,r+"
3,1,1,1,0,0,0,0,0,1,0,0,0,0,10,416,FALSE,57.78333333,1,r+,"3,57.7833333333333,r+"
16,1,1,0,1,0,0,0,0,0,1,0,0,0,4,97,FALSE,2.183333333,1,r+,"16,2.18333333333333,r+"
9,1,3,0,1,0,0,0,0,1,0,0,0,0,96,95,FALSE,58.46666667,1,r+,"9,58.4666666666667,r+"
12,1,1,0,0,1,0,0,0,0,1,0,0,0,36,17,FALSE,55.43333333,1,r+,"12,55.4333333333333,r+"
5,1,1,0,1,0,0,0,0,1,0,0,0,0,16,103,FALSE,1.266666667,1,r+,"5,1.26666666666667,r+"
13,1,1,1,0,1,0,0,0,0,1,0,0,0,36,166,FALSE,821.0166667,1,r+,"13,821.016666666667,r+"
11,1,1,2,1,0,0,0,0,0,1,0,0,0,23,250,TRUE,7.083333333,-1,r-,"11,7.08333333333333,r-"
7,1,1,0,1,0,0,0,0,1,0,0,0,0,25,81,FALSE,6.183333333,1,r+,"7,6.18333333333333,r+"
2,1,1,1,0,1,0,0,0,0,1,0,0,0,55,137,TRUE,2.333333333,-1,r-,"2,2.33333333333333,r-"
2,1,1,0,1,0,0,0,0,1,0,0,0,0,79,95,FALSE,20.76666667,1,r+,"2,20.7666666666667,r+"
3,1,1,0,0,0,0,0,0,0,1,0,0,0,7,540,FALSE,22.08333333,1,r+,"3,22.0833333333333,r+"
2,1,1,0,0,1,0,0,0,0,1,0,0,0,34,122,TRUE,2073.366667,-1,r-,"2,2073.36666666667,r-"
2,1,1,0,0,1,0,0,0,0,1,0,0,0,499,324,FALSE,284.65,1,r+,"2,284.65,r+"
88,1,3,0,0,1,0,0,0,0,1,0,0,0,27,105,TRUE,26.03333333,-1,r-,"88,26.0333333333333,r-"
88,1,3,0,0,1,0,0,0,0,1,0,0,0,29,111,FALSE,5309.716667,1,r+,"88,5309.71666666667,r+"
19,1,2,1,0,1,0,0,0,0,1,0,0,0,30,108,TRUE,43.4,1,r+,"19,43.4,r+"
23,1,2,0,0,1,0,0,0,0,1,0,0,0,31,113,FALSE,4.8,1,r+,"23,4.8,r+"
36,1,1,0,1,0,0,0,0,1,0,0,0,0,44,62,FALSE,196.9833333,1,r+,"36,196.983333333333,r+"
7,1,1,0,0,1,0,0,0,1,0,0,0,0,70,305,FALSE,54.8,1,r+,"7,54.8,r+"
18,1,4,0,1,0,0,0,0,1,0,0,0,0,46,102,FALSE,11.88333333,1,r+,"18,11.8833333333333,r+"
4,1,1,0,0,1,0,0,0,0,1,0,0,0,1,142,TRUE,250.3833333,-1,r-,"4,250.383333333333,r-"
6,1,1,0,0,1,0,0,0,1,0,0,0,0,9,91,FALSE,361.7333333,1,r+,"6,361.733333333333,r+"
6,1,1,0,0,1,0,0,0,1,0,0,0,0,74,110,TRUE,21.65,1,r+,"6,21.65,r+"
81,1,2,1,0,1,0,0,0,0,1,0,0,0,77,153,FALSE,572.4666667,1,r+,"81,572.466666666667,r+"
6,1,2,2,0,1,0,0,0,1,0,0,0,0,20,371,TRUE,7.866666667,-1,r-,"6,7.86666666666667,r-"
6,1,2,0,0,1,0,0,0,0,1,0,0,0,105,144,FALSE,948.7166667,1,r+,"6,948.716666666667,r+"
5,1,1,1,1,0,0,0,0,1,0,0,0,0,90,117,FALSE,4.466666667,1,r+,"5,4.46666666666667,r+"
2,1,1,0,0,1,0,0,0,0,1,0,0,0,18,240,FALSE,120.55,1,r+,"2,120.55,r+"
30,1,1,1,0,1,0,0,0,0,1,0,0,0,235,536,TRUE,15.58333333,1,r+,"30,15.5833333333333,r+"
4,1,1,0,0,1,0,0,0,0,1,0,0,0,60,236,TRUE,54.23333333,1,r+,"4,54.2333333333333,r+"
5,1,1,0,0,1,0,0,0,0,1,0,0,0,61,237,FALSE,1.716666667,1,r+,"5,1.71666666666667,r+"
5,1,1,1,0,1,0,0,0,1,0,0,0,0,72,623,FALSE,251.1,1,r+,"5,251.1,r+"
5,1,1,1,0,1,0,0,0,0,1,0,0,0,21,258,TRUE,65.36666667,-1,r-,"5,65.3666666666667,r-"
4,1,1,1,0,1,0,0,0,0,1,0,0,0,23,262,FALSE,1.066666667,1,r+,"4,1.06666666666667,r+"
1,1,1,0,0,1,0,0,0,0,1,0,0,0,103,241,TRUE,2562.216667,1,r+,"1,2562.21666666667,r+"
6,1,0,2,1,0,0,0,0,1,0,0,0,0,44,483,FALSE,5.183333333,1,r+,"6,5.18333333333333,r+"
16,1,1,0,0,1,0,0,0,1,0,0,0,0,150,135,TRUE,167.3333333,-1,r-,"16,167.333333333333,r-"
1,1,1,0,0,1,0,0,0,1,0,0,0,0,158,949,FALSE,111.7,1,r+,"1,111.7,r+"
39,1,2,0,1,0,0,0,0,0,1,0,0,0,214,294,FALSE,1365.366667,1,r+,"39,1365.36666666667,r+"
13,1,2,0,1,0,0,0,0,0,1,0,0,0,12,256,FALSE,4430.683333,1,r+,"13,4430.68333333333,r+"
2,1,1,0,1,0,0,0,0,0,1,0,0,0,232,600,FALSE,2.066666667,1,r+,"2,2.06666666666667,r+"
69,1,1,0,0,1,0,0,0,0,1,0,0,0,107,260,FALSE,556.2166667,1,r+,"69,556.216666666667,r+"
42,1,1,2,1,0,0,0,0,1,0,0,0,0,107,1059,FALSE,2827.783333,1,r+,"42,2827.78333333333,r+"
4,1,1,0,0,1,0,0,0,1,0,0,0,0,50,176,TRUE,4.883333333,-1,r-,"4,4.88333333333333,r-"
2,1,1,0,0,0,0,0,0,1,0,0,0,0,3,316,TRUE,294.7166667,-1,r-,"2,294.716666666667,r-"
9,1,1,0,0,0,0,0,0,1,0,0,0,0,12,481,TRUE,119.6833333,-1,r-,"9,119.683333333333,r-"
9,1,1,0,0,0,0,0,0,1,0,0,0,0,14,489,TRUE,18.36666667,-1,r-,"9,18.3666666666667,r-"
9,1,1,0,0,0,0,0,0,1,0,0,0,0,15,490,FALSE,4.266666667,1,r+,"9,4.26666666666667,r+"
2,1,1,0,1,0,0,0,0,1,0,0,0,0,76,602,FALSE,1.416666667,1,r+,"2,1.41666666666667,r+"
42,1,1,0,1,0,0,0,0,1,0,0,0,0,79,35,FALSE,216.75,1,r+,"42,216.75,r+"
9,1,1,0,1,0,0,0,0,1,0,0,0,0,78,106,FALSE,57.16666667,1,r+,"9,57.1666666666667,r+"
3,1,1,0,1,0,0,0,0,1,0,0,0,0,265,654,FALSE,1.183333333,1,r+,"3,1.18333333333333,r+"
4,1,1,0,0,0,0,0,0,0,0,0,0,0,8,87,TRUE,4.1,-1,r-,"4,4.1,r-"
3,1,1,0,0,0,0,0,0,1,0,0,0,0,11,90,TRUE,73.58333333,-1,r-,"3,73.5833333333333,r-"
3,1,1,0,0,0,0,0,0,1,0,0,0,0,12,92,FALSE,567.45,1,r+,"3,567.45,r+"
18,1,1,0,1,0,0,0,0,0,1,0,0,0,352,768,FALSE,159.6333333,1,r+,"18,159.633333333333,r+"
92,1,1,0,0,1,0,0,0,1,0,0,0,0,10,113,FALSE,1272.15,1,r+,"92,1272.15,r+"
34,1,1,0,1,0,0,0,0,1,0,0,0,0,80,252,FALSE,19.58333333,1,r+,"34,19.5833333333333,r+"
31,1,2,0,1,0,0,0,0,0,1,0,0,0,266,315,FALSE,211.9833333,1,r+,"31,211.983333333333,r+"
11,1,1,0,1,0,0,0,0,1,0,0,0,0,272,17,FALSE,3876.116667,1,r+,"11,3876.11666666667,r+"
3,1,1,0,0,1,0,0,0,1,0,0,0,0,137,225,FALSE,8.7,1,r+,"3,8.7,r+"
5,1,1,2,1,0,0,0,0,1,0,0,0,0,288,716,FALSE,73.91666667,1,r+,"5,73.9166666666667,r+"
2,1,1,0,1,0,0,0,0,1,0,0,0,0,84,62,FALSE,597.1166667,1,r+,"2,597.116666666667,r+"
47,1,1,2,1,0,0,0,0,1,0,0,0,0,85,741,FALSE,22.08333333,1,r+,"47,22.0833333333333,r+"
2,1,1,2,1,0,0,0,0,0,1,0,0,0,26,329,FALSE,0.933333333,1,r+,"2,0.933333333333333,r+"
4,1,1,0,0,1,0,0,0,1,0,0,0,0,82,289,FALSE,1353.65,1,r+,"4,1353.65,r+"
2,1,1,1,1,0,0,0,0,1,0,0,0,0,77,767,TRUE,7.5,1,r+,"2,7.5,r+"
4,1,1,0,0,1,0,0,0,1,0,0,0,0,149,771,FALSE,666.8833333,1,r+,"4,666.883333333333,r+"
24,1,1,1,1,0,0,0,0,0,1,0,0,0,316,139,FALSE,1595.1,1,r+,"24,1595.1,r+"
5,1,1,0,0,1,0,0,0,1,0,0,0,0,9,313,FALSE,240.1666667,1,r+,"5,240.166666666667,r+"
13,1,1,0,0,1,0,0,0,0,1,0,0,0,62,344,FALSE,2609.733333,1,r+,"13,2609.73333333333,r+"
31,1,1,1,0,1,0,0,0,1,0,0,0,0,97,315,TRUE,1204.35,1,r+,"31,1204.35,r+"
3,1,1,0,0,1,0,0,0,1,0,0,0,0,31,913,TRUE,750.1666667,-1,r-,"3,750.166666666667,r-"
2,1,1,1,0,1,0,0,0,1,0,0,0,0,34,112,TRUE,311.7833333,1,r+,"2,311.783333333333,r+"
2,1,1,1,0,1,0,0,0,1,0,0,0,0,35,113,TRUE,52.25,1,r+,"2,52.25,r+"
2,1,1,0,0,1,0,0,0,0,1,0,0,0,36,318,TRUE,6.95,-1,r-,"2,6.95,r-"
2,1,1,0,0,1,0,0,0,0,1,0,0,0,37,319,FALSE,6.316666667,1,r+,"2,6.31666666666667,r+"
11,1,1,0,1,0,0,0,0,1,0,0,0,0,100,222,FALSE,0.8,1,r+,"11,0.8,r+"
33,1,2,0,0,0,0,0,0,1,0,0,0,0,23,38,TRUE,257,-1,r-,"33,257,r-"
32,1,2,0,0,0,0,0,0,1,0,0,0,0,24,39,TRUE,29.7,-1,r-,"32,29.7,r-"
29,1,2,0,0,0,0,0,0,1,0,0,0,0,25,40,FALSE,3.95,1,r+,"29,3.95,r+"
1,1,0,0,1,0,0,0,0,1,0,0,0,0,121,191,FALSE,33.18333333,1,r+,"1,33.1833333333333,r+"
14,1,1,0,0,1,0,0,0,1,0,0,0,0,607,376,TRUE,32.53333333,1,r+,"14,32.5333333333333,r+"
22,1,1,0,1,0,0,0,0,1,0,0,0,0,48,954,FALSE,1.1,1,r+,"22,1.1,r+"
103,1,1,1,1,0,0,0,0,1,0,0,0,0,105,955,FALSE,21.41666667,1,r+,"103,21.4166666666667,r+"
67,1,2,0,1,0,0,0,0,1,0,0,0,0,50,351,FALSE,3175.316667,1,r+,"67,3175.31666666667,r+"
9,1,1,0,1,0,0,0,0,0,1,0,0,0,375,412,FALSE,21.4,1,r+,"9,21.4,r+"
13,1,1,0,1,0,0,0,0,1,0,0,0,0,106,258,FALSE,1422.216667,1,r+,"13,1422.21666666667,r+"
59,1,1,1,0,1,0,0,0,1,0,0,0,0,125,1056,FALSE,6404.883333,1,r+,"59,6404.88333333333,r+"
1,1,1,1,0,1,0,0,0,0,1,0,0,0,94,595,FALSE,2.583333333,1,r+,"1,2.58333333333333,r+"
6,1,1,0,0,0,0,0,0,1,0,0,0,0,90,251,TRUE,268.9666667,-1,r-,"6,268.966666666667,r-"
25,1,1,0,0,0,0,0,0,1,0,0,0,0,94,257,TRUE,1934.383333,-1,r-,"25,1934.38333333333,r-"
8,1,1,0,0,0,0,0,0,1,0,0,0,0,96,263,TRUE,110.8166667,-1,r-,"8,110.816666666667,r-"
29,1,1,0,0,0,0,0,0,1,0,0,0,0,97,266,TRUE,61.8,-1,r-,"29,61.8,r-"
19,1,1,2,0,0,0,0,0,1,0,0,0,0,100,271,FALSE,1927.3,1,r+,"19,1927.3,r+"
61,1,1,1,0,1,0,0,0,0,0,1,0,0,33,166,FALSE,102.4166667,1,r+,"61,102.416666666667,r+"
2,1,1,0,0,0,0,0,0,0,1,0,0,0,117,28,FALSE,113.1,1,r+,"2,113.1,r+"
