ID|BRANCH|PROJECT|CREATEDON|P_CREATEDON|R_GRANTEDON|P_R_GRANTEDON|TIMEINSECOND|POSITIVITY
I00d032554de273d7493cfb467f81687c08fd5389|master|openstack/nova|1472605742|31-AUG-16|1472647628|31-AUG-16|41886|1
I00d5ab6f573ef26e7e10502493c0066623583b00|master|openstack/swift|1443053720|24-SEP-15|1444199112|07-OCT-15|1145392|1
I00d7b7c64de2912dda9fa57c08d90b1ef1c3aed7|master|openstack/neutron|1415880621|13-NOV-14|1421957727|22-JAN-15|6077106|1
I00d882dde77a687ecb57ec200a34fd96256ad87a|master|openstack/neutron|1459543112|01-APR-16|1459564255|02-APR-16|21143|1
I00d882dde77a687ecb57ec200a34fd96256ad87a|stable/liberty|openstack/neutron|1460070583|07-APR-16||||
I00d882dde77a687ecb57ec200a34fd96256ad87a|stable/mitaka|openstack/neutron|1460070414|07-APR-16|1460105921|08-APR-16|35507|1
I00d953c29352a14508cea3a76f22cdd1a16a187a|master|openstack/nova|1474979438|27-SEP-16|1476190673|11-OCT-16|1211235|1
I00da67ab06cd0a3c46aa8a6cd815d0559408c2f0|master|openstack/glance|1427113043|23-MAR-15|1427120180|23-MAR-15|7137|1
I00e09cccdf28b2f445230dac5cf0b5a46481435c|master|openstack/cinder|1445407528|21-OCT-15|1445439083|21-OCT-15|31555|1
I00e19fd9b80dc6f6743eb735523bd8f5ff096136|master|openstack/neutron|1434127266|12-JUN-15|1437170957|17-JUL-15|3043691|1
I00e608ebcefc2db35eed23ead6e7556fe3dccb2d|master|openstack/nova|1409846685|04-SEP-14|1422280355|26-JAN-15|12433670|1
I00e8c4025310d23244ef0f6a5ed276573ecaea7b|master|openstack/nova|1464957240|03-JUN-16|1465307709|07-JUN-16|350469|1
I00ebc716dccbe9fb97e2b8a3cb5d5e496bc7719b|master|openstack/nova|1333041074|29-MAR-12||||
I00f1a159c036f9058305c278539a77b2df87f837|master|openstack/cinder|1433384114|04-JUN-15||||
I00f4ae5ccd99f8f5da12e687ef0dc9cdb1717b3b|master|openstack/cinder|1458226340|17-MAR-16|1471007176|12-AUG-16|12780836|1
I00fb75f70e8e6cab7d9588913bae193909ab66e1|master|openstack/keystone|1472758933|01-SEP-16|1472765734|01-SEP-16|6801|1
